2016-06-04 15:27:45 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2016-06-04 15:27:45 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2016-06-04 15:27:45 upgrade perl-base:amd64 5.20.2-3+deb8u4 5.20.2-3+deb8u4
2016-06-04 15:27:45 status half-configured perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:27:45 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:27:45 status half-installed perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:27:50 status half-installed perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:27:50 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:27:50 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:27:50 install sed:amd64 <none> 4.2.2-4+b1
2016-06-04 15:27:50 status half-installed sed:amd64 4.2.2-4+b1
2016-06-04 15:27:51 status unpacked sed:amd64 4.2.2-4+b1
2016-06-04 15:27:51 status unpacked sed:amd64 4.2.2-4+b1
2016-06-04 15:27:51 install sensible-utils:all <none> 0.0.9
2016-06-04 15:27:51 status half-installed sensible-utils:all 0.0.9
2016-06-04 15:27:51 status unpacked sensible-utils:all 0.0.9
2016-06-04 15:27:51 status unpacked sensible-utils:all 0.0.9
2016-06-04 15:27:52 install login:amd64 <none> 1:4.2-3+deb8u1
2016-06-04 15:27:52 status half-installed login:amd64 1:4.2-3+deb8u1
2016-06-04 15:27:53 status unpacked login:amd64 1:4.2-3+deb8u1
2016-06-04 15:27:53 status unpacked login:amd64 1:4.2-3+deb8u1
2016-06-04 15:27:53 install passwd:amd64 <none> 1:4.2-3+deb8u1
2016-06-04 15:27:53 status half-installed passwd:amd64 1:4.2-3+deb8u1
2016-06-04 15:27:56 status unpacked passwd:amd64 1:4.2-3+deb8u1
